entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2022-10-03 09:40:00,2022-10-03 15:55:00,LONG,1,11084.0,11290.75,413.5,64.51,3.205,entry,375.0
2022-10-04 09:40:00,2022-10-04 13:10:00,LONG,1,11560.0,11558.75,-2.5,81.58,-0.015,entry,210.0
2022-10-05 09:40:00,2022-10-05 12:05:00,SHORT,1,11469.75,11490.25,-41.0,72.25,-0.284,entry,145.0
2022-10-06 09:40:00,2022-10-06 09:55:00,LONG,1,11701.75,11637.5,-128.5,67.56,-0.951,entry,15.0
2022-10-07 09:40:00,2022-10-07 15:55:00,SHORT,1,11275.0,11099.5,351.0,142.93,1.228,entry,375.0
2022-10-10 09:50:00,2022-10-10 13:45:00,SHORT,1,11009.0,11036.75,-55.5,46.19,-0.601,entry,235.0
2022-10-11 09:40:00,2022-10-11 11:00:00,SHORT,1,10879.75,10914.5,-69.5,43.83,-0.793,entry,80.0
2022-10-12 09:40:00,2022-10-12 09:45:00,LONG,1,10928.75,10896.5,-64.5,29.0,-1.112,entry,5.0
2022-10-13 09:40:00,2022-10-13 10:05:00,SHORT,1,10525.0,10665.5,-281.0,153.87,-0.913,entry,25.0
2022-10-14 09:40:00,2022-10-14 15:55:00,SHORT,1,11101.25,10748.0,706.5,19.2,18.394,entry,375.0
2022-10-17 09:40:00,2022-10-17 15:55:00,LONG,1,11094.25,11111.25,34.0,179.11,0.095,entry,375.0
2022-10-18 09:40:00,2022-10-18 09:50:00,LONG,1,11368.75,11299.25,-139.0,49.38,-1.408,entry,10.0
2022-10-19 09:40:00,2022-10-19 10:10:00,SHORT,1,11144.75,11207.75,-126.0,69.02,-0.913,entry,30.0
2022-10-20 09:40:00,2022-10-20 12:35:00,LONG,1,11162.25,11172.25,20.0,55.37,0.181,entry,175.0
2022-10-21 09:40:00,2022-10-21 15:55:00,LONG,1,11082.25,11354.0,543.5,61.74,4.402,entry,375.0
2022-10-24 09:40:00,2022-10-24 09:50:00,SHORT,1,11333.5,11381.5,-96.0,43.35,-1.107,entry,10.0
2022-10-25 09:40:00,2022-10-25 15:55:00,LONG,1,11560.0,11712.5,305.0,64.89,2.35,entry,375.0
2022-10-26 09:40:00,2022-10-26 09:45:00,SHORT,1,11468.25,11515.5,-94.5,29.48,-1.603,entry,5.0
2022-10-27 09:40:00,2022-10-27 10:15:00,SHORT,1,11406.25,11423.0,-33.5,24.81,-0.675,entry,35.0
2022-10-28 09:40:00,2022-10-28 15:55:00,LONG,1,11352.0,11584.5,465.0,177.61,1.309,entry,375.0
2022-10-31 09:40:00,2022-10-31 11:40:00,SHORT,1,11472.5,11480.25,-15.5,40.86,-0.19,entry,120.0
2022-11-01 09:40:00,2022-11-01 09:45:00,LONG,1,11582.25,11530.25,-104.0,22.03,-2.361,entry,5.0
2022-11-02 09:40:00,2022-11-02 14:00:00,SHORT,1,11306.25,11401.75,-191.0,29.97,-3.186,entry,260.0
2022-11-03 09:40:00,2022-11-03 10:25:00,SHORT,1,10790.75,10842.5,-103.5,82.83,-0.625,entry,45.0
2022-11-04 09:40:00,2022-11-04 09:55:00,SHORT,1,10740.75,10844.5,-207.5,70.58,-1.47,entry,15.0
2022-11-07 09:45:00,2022-11-07 10:00:00,SHORT,1,10860.75,10921.5,-121.5,33.46,-1.816,entry,15.0
2022-11-08 09:50:00,2022-11-08 13:25:00,LONG,1,11074.25,11101.25,54.0,31.79,0.849,entry,215.0
2022-11-09 09:40:00,2022-11-09 15:55:00,SHORT,1,11016.0,10831.0,370.0,46.77,3.956,entry,375.0
2022-11-10 09:40:00,2022-11-10 15:55:00,LONG,1,11312.5,11628.75,632.5,160.87,1.966,entry,375.0
2022-11-11 09:40:00,2022-11-11 09:45:00,SHORT,1,11625.0,11675.75,-101.5,45.89,-1.106,entry,5.0
2022-11-14 09:40:00,2022-11-14 10:00:00,SHORT,1,11724.25,11771.25,-94.0,51.44,-0.914,entry,20.0
2022-11-15 09:40:00,2022-11-15 11:00:00,LONG,1,12012.75,11969.0,-87.5,50.94,-0.859,entry,80.0
2022-11-16 09:40:00,2022-11-16 12:45:00,SHORT,1,11800.75,11815.25,-29.0,69.24,-0.209,entry,185.0
2022-11-17 09:40:00,2022-11-17 10:15:00,SHORT,1,11613.0,11659.25,-92.5,42.24,-1.095,entry,35.0
2022-11-18 09:45:00,2022-11-18 15:25:00,SHORT,1,11737.25,11708.5,57.5,34.73,0.828,entry,340.0
2022-11-21 09:45:00,2022-11-21 10:00:00,LONG,1,11683.5,11633.75,-99.5,28.62,-1.738,entry,15.0
2022-11-22 09:40:00,2022-11-22 10:10:00,SHORT,1,11537.75,11612.75,-150.0,53.92,-1.391,entry,30.0
2022-11-23 09:40:00,2022-11-23 11:50:00,LONG,1,11789.25,11790.25,2.0,28.17,0.035,entry,130.0
2022-11-24 10:55:00,2022-11-24 12:55:00,LONG,1,11920.25,11910.75,-19.0,14.94,-0.636,entry,120.0
2022-11-25 09:40:00,2022-11-25 13:10:00,SHORT,1,11789.25,11786.75,5.0,53.79,0.046,entry,210.0
2022-11-28 09:40:00,2022-11-28 10:20:00,LONG,1,11776.75,11705.25,-143.0,68.55,-1.043,entry,40.0
2022-11-29 09:40:00,2022-11-29 10:25:00,SHORT,1,11585.0,11625.75,-81.5,57.79,-0.705,entry,45.0
2022-11-30 09:40:00,2022-11-30 10:00:00,LONG,1,11574.75,11550.0,-49.5,24.43,-1.013,entry,20.0
2022-12-01 09:40:00,2022-12-01 10:05:00,LONG,1,12099.25,12064.0,-70.5,38.82,-0.908,entry,25.0
2022-12-02 09:40:00,2022-12-02 10:10:00,SHORT,1,11882.75,11943.0,-120.5,25.63,-2.351,entry,30.0
2022-12-05 09:55:00,2022-12-05 15:55:00,SHORT,1,11933.0,11802.75,260.5,28.17,4.623,entry,360.0
2022-12-06 09:40:00,2022-12-06 15:55:00,SHORT,1,11722.75,11562.5,320.5,77.41,2.07,entry,375.0
2022-12-07 09:45:00,2022-12-07 10:25:00,SHORT,1,11478.25,11520.0,-83.5,48.2,-0.866,entry,40.0
2022-12-08 09:40:00,2022-12-08 09:50:00,SHORT,1,11489.5,11551.25,-123.5,35.38,-1.745,entry,10.0
2022-12-09 09:50:00,2022-12-09 10:00:00,SHORT,1,11598.75,11638.5,-79.5,37.8,-1.052,entry,10.0
2022-12-12 09:45:00,2022-12-12 10:15:00,LONG,1,11711.75,11679.25,-65.0,29.65,-1.096,entry,30.0
2022-12-13 09:40:00,2022-12-13 10:20:00,LONG,1,12264.5,12141.0,-247.0,133.35,-0.926,entry,40.0
2022-12-14 09:40:00,2022-12-14 12:50:00,LONG,1,11983.0,11997.5,29.0,18.03,0.804,entry,190.0
2022-12-15 09:40:00,2022-12-15 15:55:00,SHORT,1,11650.75,11460.5,380.5,62.12,3.063,entry,375.0
2022-12-16 09:40:00,2022-12-16 10:05:00,LONG,1,11438.5,11384.0,-109.0,37.61,-1.449,entry,25.0
2022-12-19 09:40:00,2022-12-19 15:55:00,SHORT,1,11312.5,11188.0,249.0,42.01,2.963,entry,375.0
2022-12-20 09:40:00,2022-12-20 09:55:00,SHORT,1,11083.75,11168.75,-170.0,46.29,-1.836,entry,15.0
2022-12-21 09:45:00,2022-12-21 09:55:00,LONG,1,11268.75,11226.0,-85.5,42.97,-0.995,entry,10.0
2022-12-22 09:40:00,2022-12-22 15:50:00,SHORT,1,11117.75,11054.25,127.0,127.02,0.5,entry,370.0
2022-12-23 09:40:00,2022-12-23 10:15:00,SHORT,1,10983.0,11042.5,-119.0,56.13,-1.06,entry,35.0
2022-12-27 09:40:00,2022-12-27 15:55:00,SHORT,1,10955.75,10918.75,74.0,126.73,0.292,entry,375.0
2022-12-28 09:40:00,2022-12-28 10:25:00,LONG,1,10959.5,10901.0,-117.0,23.76,-2.462,entry,45.0
2022-12-29 09:40:00,2022-12-29 15:55:00,LONG,1,10949.75,11032.0,164.5,84.73,0.971,entry,375.0
2022-12-30 09:40:00,2022-12-30 10:15:00,SHORT,1,10923.75,10939.25,-31.0,29.12,-0.532,entry,35.0
2023-01-03 09:40:00,2023-01-03 09:45:00,LONG,1,11137.5,11069.25,-136.5,44.7,-1.527,entry,5.0
2023-01-04 09:40:00,2023-01-04 11:10:00,SHORT,1,10970.25,10979.0,-17.5,30.69,-0.285,entry,90.0
2023-01-05 09:40:00,2023-01-05 13:30:00,SHORT,1,10842.75,10903.0,-120.5,95.14,-0.633,entry,230.0
2023-01-06 09:40:00,2023-01-06 10:05:00,SHORT,1,10786.75,10890.5,-207.5,67.97,-1.527,entry,25.0
2023-01-09 09:40:00,2023-01-09 13:45:00,LONG,1,11242.5,11278.5,72.0,63.17,0.57,entry,245.0
2023-01-10 09:40:00,2023-01-10 10:30:00,LONG,1,11193.5,11153.25,-80.5,25.04,-1.608,entry,50.0
2023-01-11 09:40:00,2023-01-11 10:55:00,LONG,1,11352.0,11321.5,-61.0,47.2,-0.646,entry,75.0
2023-01-12 09:40:00,2023-01-12 10:10:00,SHORT,1,11357.0,11479.0,-244.0,108.76,-1.122,entry,30.0
