year,net,reason,hold
2020,0.9343280029836812,target,32
2020,0.8217004395303249,target,83
2020,1.2811690031684158,target,22
2020,0.8825500977684694,target,48
2020,-1.0060496795908949,stop,270
2020,0.5969990386027538,target,207
2020,0.9420559708674641,target,48
2020,-1.0072304107851606,stop,172
2020,-1.0088038364964407,stop,168
2020,0.6136868580166082,target,126
2020,0.912477650208608,target,165
2020,0.9142557011715166,target,16
2020,-1.0109491469701493,stop,221
2020,-1.0131761120140266,stop,256
2020,-1.0241718352408373,stop,66
2020,-1.0122761886065113,stop,36
2020,-1.0142497083239734,stop,249
2020,0.48079554489696735,target,164
2020,-1.0157334890134153,stop,29
2020,-1.0187218540494367,stop,131
2020,0.3025156239747327,eod,311
2020,0.8071207792336211,target,32
2020,-1.020364338805031,stop,16
2020,0.4893759849527707,target,330
2020,0.7707469909974979,target,289
2020,0.7464962989324254,target,54
2020,1.0071656300269536,target,66
2020,-0.7896344680927521,eod,322
2020,-1.030149561340493,stop,219
2020,-0.21606978859040427,eod,354
2020,-1.0300191123751732,stop,36
2020,0.86396047315233,target,85
2020,-0.19780747718870778,eod,179
2020,-1.0248140600910072,stop,85
2020,-1.010175899025985,stop,49
2020,-1.0191755539910183,stop,112
2020,0.8129099140835039,target,85
2020,0.84425107292725,target,76
2020,-1.0260914246845467,stop,22
2020,1.6113345184276975,target,12
2020,0.7052810457667218,target,68
2020,-1.0146496674991066,stop,91
2020,1.0150985896176208,target,50
2020,-1.027129102722248,stop,26
2020,0.9692250709546053,target,30
2020,0.8452750465920057,target,60
2020,-1.0151978075286971,stop,122
2020,-1.014531265107234,stop,4
2020,0.8905278327463417,target,28
2020,-1.0169988353109718,stop,163
2020,-1.0193040868177288,stop,68
2020,-1.0196118083802392,stop,11
2020,-1.0287478070099703,stop,64
2020,-1.0279818026142922,stop,25
2020,0.8302012991177561,target,60
2020,-1.0536610549181715,stop,9
2020,-1.0219808462718059,stop,60
2020,-1.0221229871462556,stop,68
2020,0.8666815846306364,target,67
2020,-1.025505664138072,stop,15
2020,1.2993377778156385,target,14
2020,-1.0164063379743749,stop,63
2020,0.773779510421275,target,44
2020,0.9434813790445321,target,30
2020,1.0124749782492342,target,33
2020,1.0910590323627225,target,38
2020,-1.0168791483314916,stop,20
2020,-1.0148615002005363,stop,107
2020,0.931218050497022,target,22
2020,0.8403831972777666,target,38
2020,0.9435452514680153,target,76
2020,0.667749094317303,target,125
2020,-1.0157774981291259,stop,17
2020,0.8268554249679129,target,48
2020,0.7843358953425233,target,55
2020,-1.0459585313746027,stop,12
2020,0.9021210466072831,target,25
2020,-1.0357038408016122,stop,5
2020,0.8470393783423646,target,58
2020,-1.0153862064850525,stop,79
2020,0.5395909185060869,target,176
2020,-1.0326373841832983,stop,13
2020,-0.363251919493747,eod,354
2020,0.9707072647734853,target,18
2020,0.9711894443821028,target,17
2020,-1.019967034016782,stop,96
2020,-1.0308831337473685,stop,21
2020,0.7663039263102955,target,75
2020,-1.0363580658992897,stop,16
2020,0.894451397199137,target,13
2020,1.1509327786571666,target,11
2020,0.8055335685161248,target,34
2020,0.6146071206171596,target,80
2020,-1.0130182468792464,stop,97
2020,-1.007709824304489,stop,24
2020,-1.0087630542438084,stop,17
2020,-0.23085985427798023,eod,147
2020,-1.0082176560739213,stop,154
2020,0.8654096561654474,target,43
2020,0.9738066028731502,target,45
2020,-1.017468138465531,stop,28
2020,-1.0225117390036587,stop,27
2020,-1.0222967152881253,stop,10
2020,0.7582742131440419,target,81
2020,0.9319792415778312,target,41
2020,-1.0205658822098609,stop,101
2020,1.1997049151802703,target,35
2020,1.0507285147933463,target,4
2020,0.8605155701429625,target,52
2020,-1.0107171106483532,stop,246
2020,-1.0314294441834053,stop,13
2020,-1.0438030665757547,stop,18
2020,1.0201119955922244,target,15
2020,-1.0314227603904123,stop,63
2020,-1.0302728245168977,stop,10
2020,0.7480460871280495,target,65
2020,-1.0309205850014238,stop,9
2020,0.9480024186065565,target,16
2020,0.97835194802317,target,51
2020,-1.022986969524133,stop,10
2020,0.9697784096001312,target,69
2020,0.7528126840098986,target,30
2020,1.0894954699629378,target,15
2020,-1.0081773504421836,stop,196
2020,-1.0216425414815846,stop,73
2020,-1.0125882104942394,stop,24
2020,-1.0216940237447352,stop,13
2020,-0.26686406845343436,eod,338
2020,0.9878847904969286,target,13
2020,0.7337037052146286,target,67
2020,-0.49738477654178037,eod,324
2020,0.8238051640169086,target,62
2020,-1.0252497132950518,stop,46
2020,1.0065094529337728,target,41
2020,1.2118577981756402,target,21
2020,-1.0312963618409876,stop,45
