stop,scenario,qty,mode,pass_rate,target_hit_rate,blow_rate,timeout_rate,days_median,days_p90,dd_use_median,consist_max
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,20.93457943925234,21.588785046728972,0.0,79.06542056074767,76.0,110.70000000000002,0.873,0.46639102185469583
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,20.93457943925234,21.30841121495327,2.0560747663551404,77.00934579439253,76.0,110.70000000000002,0.873,0.46639102185469583
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,51.58878504672897,60.0,30.8411214953271,17.570093457943926,60.5,101.90000000000003,0.7729999999999999,0.49987408713170484
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,33.177570093457945,34.112149532710276,58.3177570093458,8.504672897196262,49.0,89.0,0.832,0.49905541561712846
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,38.03738317757009,42.71028037383178,57.85046728971963,4.112149532710281,39.0,72.0,0.78475,0.5
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,16.635514018691588,17.102803738317757,82.42990654205607,0.9345794392523363,35.0,64.30000000000001,0.8631249999999999,0.5
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,27.850467289719628,44.018691588785046,70.2803738317757,1.8691588785046727,27.0,52.0,0.78,0.5
固定20pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,3.551401869158879,4.392523364485982,96.44859813084112,0.0,18.5,33.300000000000004,0.801875,0.4968394437420986
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,22.990654205607477,23.738317757009344,0.0,77.00934579439253,81.0,110.5,0.881,0.4966662473267078
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,22.990654205607477,23.177570093457945,1.7757009345794394,75.23364485981308,81.0,110.5,0.881,0.4966662473267078
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,44.57943925233645,48.41121495327103,41.86915887850468,13.551401869158877,50.0,86.0,0.81,0.4997482376636455
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,39.15887850467289,40.373831775700936,54.299065420560744,6.5420560747663545,47.0,88.0,0.812,0.4985827664399093
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,39.25233644859813,42.89719626168224,58.78504672897197,1.9626168224299065,35.5,71.0,0.7855,0.5
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,16.16822429906542,16.728971962616825,83.83177570093457,0.0,27.0,63.80000000000001,0.859,0.5
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,27.757009345794394,42.242990654205606,71.40186915887851,0.8411214953271028,22.0,59.0,0.765,0.5
固定22.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,3.4579439252336446,5.233644859813085,96.54205607476636,0.0,15.0,25.4,0.8825,0.5
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,36.074766355140184,36.822429906542055,0.0,63.925233644859816,75.5,110.5,0.896,0.4966662473267078
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,36.074766355140184,36.26168224299066,1.7757009345794394,62.149532710280376,75.5,110.5,0.896,0.4966662473267078
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,47.10280373831775,50.373831775700936,47.47663551401869,5.420560747663552,44.0,83.69999999999999,0.7985,0.49984695439240895
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,43.45794392523364,44.67289719626169,54.11214953271028,2.4299065420560746,43.0,84.0,0.808,0.49984695439240895
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,34.48598130841122,39.25233644859813,64.39252336448598,1.1214953271028036,26.0,50.0,0.7915,0.5
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,19.345794392523363,19.626168224299064,80.65420560747664,0.0,26.0,48.400000000000006,0.844,0.5
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,27.943925233644862,44.76635514018692,71.40186915887851,0.6542056074766356,18.0,44.0,0.74,0.5
固定25pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,3.08411214953271,3.7383177570093453,96.91588785046729,0.0,13.0,21.8,0.87,0.5
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,33.73831775700935,34.67289719626168,0.0,66.26168224299064,78.0,111.0,0.9135,0.49660377358490565
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,33.73831775700935,34.112149532710276,6.5420560747663545,59.7196261682243,78.0,111.0,0.9135,0.49660377358490565
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,52.429906542056074,56.54205607476636,38.504672897196265,9.065420560747665,45.0,87.0,0.8265,0.4998567745631624
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,48.87850467289719,50.93457943925234,44.018691588785046,7.102803738317758,45.0,87.0,0.8285,0.4998567745631624
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,37.663551401869164,42.80373831775701,61.6822429906542,0.6542056074766356,27.0,49.0,0.8245,0.5
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,21.49532710280374,21.962616822429908,78.50467289719626,0.0,28.0,48.0,0.829,0.5
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,31.68224299065421,47.38317757009346,68.13084112149532,0.1869158878504673,19.0,50.0,0.715,0.5
固定27.5pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,3.2710280373831773,3.7383177570093453,96.72897196261682,0.0,15.0,27.6,0.7875,0.4933127572016461
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,eod,33.55140186915888,34.76635514018692,5.607476635514018,60.8411214953271,80.0,110.0,0.9275,0.47050411154808724
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,1,intraday,33.55140186915888,34.018691588785046,7.663551401869159,58.78504672897197,80.0,110.0,0.9275,0.47050411154808724
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,eod,57.009345794392516,59.7196261682243,39.90654205607477,3.08411214953271,42.0,82.10000000000002,0.812,0.49987408713170484
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,2,intraday,44.48598130841121,44.953271028037385,55.140186915887845,0.3738317757009346,38.0,80.0,0.814,0.4995633187772926
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,eod,47.38317757009346,51.02803738317757,52.149532710280376,0.46728971962616817,30.0,59.0,0.7795,0.49987408713170484
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,3,intraday,24.95327102803738,25.42056074766355,75.04672897196262,0.0,30.0,59.400000000000006,0.814,0.4992563212692117
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,eod,31.02803738317757,45.794392523364486,68.87850467289721,0.09345794392523366,17.0,41.0,0.69,0.5
固定30pt,目标firm $50K EOD: DD2000/目标3000/日亏1200/cons50%/冻结+DD,5,intraday,4.766355140186916,4.953271028037383,95.23364485981308,0.0,14.0,45.0,0.7925,0.5
