entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2022-08-29 09:30:00,2022-08-29 09:45:00,LONG,17,16303.75,16282.5,-756.5,21.25,-1.05,初始止损,15.0
2022-08-30 09:35:00,2022-08-30 15:55:00,SHORT,17,16288.0,16089.25,6723.5,20.75,9.53,收盘平仓,380.0
2022-08-31 09:30:00,2022-08-31 09:35:00,SHORT,18,16147.0,16168.25,-801.0,21.0,-1.06,初始止损,5.0
2022-09-01 09:30:00,2022-09-01 09:35:00,SHORT,18,15886.0,15907.25,-801.0,20.75,-1.07,初始止损,5.0
2022-09-02 09:30:00,2022-09-02 09:35:00,SHORT,18,16056.0,16077.0,-792.0,20.75,-1.06,初始止损,5.0
2022-09-05 09:35:00,2022-09-05 12:55:00,LONG,17,15872.75,15871.75,-68.0,21.5,-0.09,收盘平仓,200.0
2022-09-06 09:30:00,2022-09-06 09:35:00,SHORT,18,15841.0,15861.75,-783.0,20.5,-1.06,初始止损,5.0
2022-09-07 09:30:00,2022-09-07 10:00:00,LONG,18,15817.75,15797.0,-783.0,20.25,-1.07,初始止损,30.0
2022-09-08 09:30:00,2022-09-08 09:35:00,SHORT,18,15864.25,15884.75,-774.0,20.25,-1.06,初始止损,5.0
2022-09-09 09:30:00,2022-09-09 09:35:00,LONG,18,16202.75,16182.25,-774.0,20.25,-1.06,初始止损,5.0
2022-09-12 09:30:00,2022-09-12 09:35:00,LONG,17,16417.0,16395.5,-765.0,20.25,-1.11,初始止损,5.0
2022-09-13 09:40:00,2022-09-13 09:45:00,SHORT,18,16083.75,16103.75,-756.0,19.75,-1.06,初始止损,5.0
2022-09-14 09:30:00,2022-09-14 09:35:00,SHORT,15,15763.75,15787.75,-750.0,22.5,-1.11,初始止损,5.0
2022-09-15 09:45:00,2022-09-15 10:20:00,LONG,16,15862.5,15840.25,-744.0,21.75,-1.07,初始止损,35.0
2022-09-16 09:40:00,2022-09-16 09:45:00,SHORT,16,15473.25,15495.25,-736.0,21.75,-1.06,初始止损,5.0
2022-09-19 09:30:00,2022-09-19 12:05:00,LONG,16,15538.75,15516.75,-736.0,21.25,-1.08,初始止损,155.0
2022-09-20 09:35:00,2022-09-20 09:45:00,SHORT,16,15570.5,15592.25,-728.0,21.0,-1.08,初始止损,10.0
2022-09-21 09:30:00,2022-09-21 09:40:00,SHORT,16,15601.25,15622.75,-720.0,20.5,-1.1,初始止损,10.0
2022-09-22 09:35:00,2022-09-22 15:10:00,SHORT,15,15285.25,15308.25,-720.0,21.5,-1.12,初始止损,335.0
2022-09-23 09:45:00,2022-09-23 10:25:00,SHORT,16,15045.0,15066.25,-712.0,21.0,-1.06,初始止损,40.0
2022-09-26 09:30:00,2022-09-26 11:10:00,LONG,15,15080.25,15057.75,-705.0,21.25,-1.11,初始止损,100.0
2022-09-27 09:30:00,2022-09-27 09:45:00,LONG,15,15190.25,15167.75,-705.0,21.0,-1.12,初始止损,15.0
2022-09-28 09:30:00,2022-09-28 09:35:00,SHORT,15,14942.5,14964.75,-697.5,21.25,-1.09,初始止损,5.0
2022-09-29 09:35:00,2022-09-29 15:55:00,SHORT,15,14994.0,14892.25,3022.5,21.75,4.63,收盘平仓,380.0
2022-09-30 09:35:00,2022-09-30 09:40:00,SHORT,15,14827.5,14850.25,-712.5,22.5,-1.06,初始止损,5.0
2022-10-03 09:30:00,2022-10-03 09:45:00,SHORT,14,14741.5,14765.75,-707.0,22.75,-1.11,初始止损,15.0
2022-10-04 09:30:00,2022-10-04 13:15:00,LONG,14,15215.5,15191.5,-700.0,23.0,-1.09,初始止损,225.0
2022-10-05 09:30:00,2022-10-05 09:35:00,LONG,14,15188.25,15164.5,-693.0,23.25,-1.06,初始止损,5.0
2022-10-06 09:30:00,2022-10-06 10:00:00,LONG,14,15312.0,15288.25,-693.0,23.5,-1.05,初始止损,30.0
2022-10-07 09:40:00,2022-10-07 15:55:00,SHORT,14,14935.5,14760.0,4886.0,22.75,7.67,收盘平仓,375.0
2022-10-10 09:30:00,2022-10-10 13:50:00,SHORT,14,14723.75,14723.75,-28.0,24.0,-0.04,保本止损,260.0
2022-10-11 09:30:00,2022-10-11 11:00:00,SHORT,14,14555.75,14580.5,-721.0,23.5,-1.1,初始止损,90.0
2022-10-12 09:30:00,2022-10-12 09:35:00,SHORT,14,14491.75,14516.25,-714.0,23.25,-1.1,初始止损,5.0
2022-10-13 09:45:00,2022-10-13 15:55:00,LONG,15,14244.5,14741.75,14887.5,22.5,22.06,收盘平仓,370.0
2022-10-14 09:30:00,2022-10-14 09:35:00,SHORT,16,14786.5,14811.0,-816.0,24.25,-1.05,初始止损,5.0
2022-10-17 09:30:00,2022-10-17 15:55:00,LONG,15,14699.25,14771.75,2145.0,25.25,2.83,收盘平仓,385.0
2022-10-18 09:50:00,2022-10-18 09:55:00,SHORT,15,14959.75,14986.25,-825.0,25.5,-1.08,初始止损,5.0
2022-10-19 09:30:00,2022-10-19 09:40:00,LONG,15,14851.25,14825.0,-817.5,25.5,-1.07,初始止损,10.0
2022-10-20 09:30:00,2022-10-20 09:35:00,LONG,15,14803.0,14776.75,-817.5,25.0,-1.09,初始止损,5.0
2022-10-21 09:50:00,2022-10-21 10:35:00,LONG,15,14791.25,14765.25,-810.0,24.75,-1.09,初始止损,45.0
2022-10-24 09:30:00,2022-10-24 09:35:00,SHORT,15,14981.25,15007.0,-802.5,25.0,-1.07,初始止损,5.0
2022-10-25 09:30:00,2022-10-25 09:40:00,LONG,15,15213.5,15188.0,-795.0,24.75,-1.07,初始止损,10.0
2022-10-26 09:40:00,2022-10-26 09:45:00,SHORT,15,15128.75,15154.25,-795.0,24.5,-1.08,初始止损,5.0
2022-10-27 09:35:00,2022-10-27 10:15:00,SHORT,15,15055.5,15080.75,-787.5,24.25,-1.08,初始止损,40.0
