entry_time_et,exit_time_et,side,qty,entry_price,exit_price,pnl_usd,stop_dist_pt,r_multiple,exit_reason,duration_min
2021-07-12 09:30:00,2021-07-12 15:35:00,SHORT,28,18674.5,18674.5,-56.0,11.5,-0.09,保本止损,365.0
2021-07-13 09:30:00,2021-07-13 09:35:00,LONG,28,18672.75,18661.25,-700.0,11.25,-1.11,初始止损,5.0
2021-07-14 09:30:00,2021-07-14 09:35:00,LONG,28,18791.25,18779.75,-700.0,11.25,-1.11,初始止损,5.0
2021-07-15 09:30:00,2021-07-15 09:45:00,SHORT,28,18642.5,18653.75,-686.0,11.25,-1.09,初始止损,15.0
2021-07-16 09:30:00,2021-07-16 09:35:00,LONG,27,18672.5,18660.75,-688.5,11.5,-1.11,初始止损,5.0
2021-07-19 09:30:00,2021-07-19 09:35:00,SHORT,26,18308.0,18320.0,-676.0,11.75,-1.11,初始止损,5.0
2021-07-20 09:30:00,2021-07-20 09:35:00,SHORT,25,18359.25,18371.75,-675.0,12.0,-1.12,初始止损,5.0
2021-07-21 09:30:00,2021-07-21 15:55:00,LONG,24,18526.25,18636.0,5220.0,12.75,8.53,收盘平仓,385.0
2021-07-22 09:30:00,2021-07-22 12:20:00,LONG,26,18676.5,18664.0,-702.0,12.5,-1.08,初始止损,170.0
2021-07-23 09:30:00,2021-07-23 09:45:00,SHORT,26,18758.0,18770.5,-702.0,12.25,-1.1,初始止损,15.0
2021-07-26 09:30:00,2021-07-26 09:35:00,SHORT,26,18856.75,18869.0,-689.0,12.25,-1.08,初始止损,5.0
2021-07-27 09:30:00,2021-07-27 09:35:00,SHORT,26,18876.5,18888.75,-689.0,12.0,-1.1,初始止损,5.0
2021-07-28 09:30:00,2021-07-28 10:00:00,SHORT,24,18796.75,18796.75,-48.0,13.0,-0.08,保本止损,30.0
2021-07-29 09:30:00,2021-07-29 15:55:00,LONG,24,18834.75,18843.25,360.0,13.0,0.58,收盘平仓,385.0
2021-07-30 09:30:00,2021-07-30 15:55:00,LONG,25,18703.5,18762.75,2912.5,12.5,4.66,收盘平仓,385.0
2021-08-02 09:35:00,2021-08-02 10:10:00,SHORT,26,18794.25,18806.75,-702.0,12.5,-1.08,初始止损,35.0
2021-08-03 09:30:00,2021-08-03 09:35:00,SHORT,26,18776.25,18788.75,-702.0,12.25,-1.1,初始止损,5.0
2021-08-04 09:35:00,2021-08-04 09:50:00,LONG,25,18857.5,18844.5,-700.0,12.5,-1.12,初始止损,15.0
2021-08-05 09:45:00,2021-08-05 10:25:00,LONG,26,18925.75,18913.5,-689.0,12.25,-1.08,初始止损,40.0
2021-08-06 09:30:00,2021-08-06 09:40:00,LONG,26,18950.25,18938.0,-689.0,12.0,-1.1,初始止损,10.0
2021-08-09 09:30:00,2021-08-09 09:35:00,LONG,26,18925.25,18913.0,-689.0,11.75,-1.13,初始止损,5.0
2021-08-10 09:30:00,2021-08-10 09:45:00,SHORT,27,18942.0,18953.5,-675.0,11.25,-1.11,初始止损,15.0
2021-08-11 09:40:00,2021-08-11 15:55:00,SHORT,27,18878.75,18829.75,2592.0,11.25,4.27,收盘平仓,375.0
2021-08-12 09:35:00,2021-08-12 09:50:00,SHORT,28,18779.25,18790.75,-700.0,11.25,-1.11,初始止损,15.0
2021-08-13 09:40:00,2021-08-13 09:45:00,SHORT,28,18882.25,18893.5,-686.0,11.25,-1.09,初始止损,5.0
2021-08-16 09:30:00,2021-08-16 09:45:00,LONG,28,18900.75,18889.5,-686.0,11.0,-1.11,初始止损,15.0
2021-08-17 09:30:00,2021-08-17 09:35:00,SHORT,27,18816.75,18828.25,-675.0,11.25,-1.11,初始止损,5.0
2021-08-18 09:35:00,2021-08-18 09:40:00,LONG,26,18808.5,18796.5,-676.0,11.75,-1.11,初始止损,5.0
2021-08-19 09:30:00,2021-08-19 09:35:00,LONG,25,18623.0,18610.75,-662.5,12.0,-1.1,初始止损,5.0
2021-08-20 09:30:00,2021-08-20 09:35:00,LONG,24,18796.25,18783.5,-660.0,12.5,-1.1,初始止损,5.0
2021-08-23 09:30:00,2021-08-23 15:55:00,LONG,24,18957.75,19114.25,7464.0,12.5,12.44,收盘平仓,385.0
2021-08-24 09:30:00,2021-08-24 09:35:00,SHORT,25,19131.25,19144.5,-712.5,13.0,-1.1,初始止损,5.0
2021-08-25 09:30:00,2021-08-25 09:50:00,LONG,26,19187.0,19174.5,-702.0,12.25,-1.1,初始止损,20.0
2021-08-26 09:30:00,2021-08-26 09:35:00,LONG,27,19161.25,19149.25,-702.0,11.75,-1.11,初始止损,5.0
2021-08-27 09:35:00,2021-08-27 09:40:00,SHORT,27,19097.25,19109.25,-702.0,11.5,-1.13,初始止损,5.0
2021-08-30 09:30:00,2021-08-30 15:55:00,LONG,27,19292.25,19407.25,6156.0,11.75,9.7,收盘平仓,385.0
2021-08-31 09:30:00,2021-08-31 10:35:00,SHORT,29,19362.5,19374.25,-739.5,11.75,-1.09,初始止损,65.0
2021-09-01 09:30:00,2021-09-01 14:30:00,LONG,29,19466.5,19454.75,-739.5,11.5,-1.11,初始止损,300.0
2021-09-02 09:30:00,2021-09-02 09:35:00,LONG,29,19477.5,19466.0,-725.0,11.25,-1.11,初始止损,5.0
2021-09-03 09:55:00,2021-09-03 10:10:00,LONG,29,19448.5,19437.0,-725.0,11.25,-1.11,初始止损,15.0
